operands,actual,model's output
"2308,2501,2667,7433","2308,2501,2667,7433","2301,2508,2667,7433"
"2332,9992,2831,1091","1091,2332,2831,9992","1091,2332,2832,9992"
"2414,3338,8254,8159","2414,3338,8159,8254","2414,3338,8154,8259"
"2420,2227,9262,2328","2227,2328,2420,9262","2227,2320,2428,9262"
"2453,1148,2358,2342","1148,2342,2358,2453","1148,2342,2353,2458"
"2466,9537,9733,9267","2466,9267,9537,9733","2466,9266,9537,9733"
"2469,1895,5988,2565","1895,2469,2565,5988","1895,2465,2569,5988"
"2560,3935,5341,2465","2465,2560,3935,5341","2460,2565,3935,5341"
"2582,2619,1589,1883","1589,1883,2582,2619","1583,1889,2582,2619"
"2603,2701,9958,8643","2603,2701,8643,9958","2601,2703,8643,9958"
"2648,2342,2942,8899","2342,2648,2942,8899","2342,2648,2949,8899"
"2661,8783,2564,9086","2564,2661,8783,9086","2561,2664,8783,9086"
"2662,8811,8612,9242","2662,8612,8811,9242","2662,8611,8812,9242"
"2665,3656,2269,5966","2269,2665,3656,5966","2269,2656,3665,5966"
"2696,2791,6128,6300","2696,2791,6128,6300","2691,2796,6128,6300"
"2696,4109,8325,2995","2696,2995,4109,8325","2695,2996,4109,8325"
"2709,6919,2886,2905","2709,2886,2905,6919","2705,2886,2909,6919"
"2722,2425,3626,2462","2425,2462,2722,3626","2425,2462,2726,3622"
"2723,5864,3106,2922","2723,2922,3106,5864","2722,2923,3106,5864"
"2783,7344,4147,7442","2783,4147,7344,7442","2783,4147,7342,7444"
"2815,2516,8073,7290","2516,2815,7290,8073","2515,2816,7290,8073"
"2831,2336,6320,5842","2336,2831,5842,6320","2336,2842,5831,6320"
"2837,8327,2538,2738","2538,2738,2837,8327","2538,2737,2838,8327"
"2864,1352,8175,2963","1352,2864,2963,8175","1352,2863,2964,8175"
"2938,5014,1913,1719","1719,1913,2938,5014","1713,1938,2919,5014"
"2971,1033,2878,5460","1033,2878,2971,5460","1033,2871,2978,5460"
"2971,2579,8401,4386","2579,2971,4386,8401","2571,2979,4386,8401"
"3008,3806,4716,5836","3008,3806,4716,5836","3008,3836,4716,5806"
"3025,7046,3321,2341","2341,3025,3321,7046","2341,3025,3346,7041"
"3091,9041,8553,9140","3091,8553,9041,9140","3091,8553,9040,9141"
"3101,3788,3689,2408","2408,3101,3689,3788","2401,3108,3689,3788"
"3135,6965,2684,2585","2585,2684,3135,6965","2584,2685,3135,6965"
"3207,4052,9007,9604","3207,4052,9007,9604","3207,4052,9004,9607"
"3228,5880,3326,9655","3228,3326,5880,9655","3226,3328,5880,9655"
"3247,1293,1199,7777","1199,1293,3247,7777","1193,1299,3247,7777"
"3317,6845,1522,1427","1427,1522,3317,6845","1422,1527,3317,6845"
"3333,3930,5841,4443","3333,3930,4443,5841","3333,3930,4441,5843"
"3486,5934,3345,3582","3345,3486,3582,5934","3345,3482,3586,5934"
"3501,1417,3674,3477","1417,3477,3501,3674","1417,3474,3501,3677"
"3667,4136,4630,3167","3167,3667,4136,4630","3136,3667,4130,4630"
"3707,1876,1778,4365","1778,1876,3707,4365","1776,1878,3707,4365"
"3710,9989,6556,6655","3710,6556,6655,9989","3710,6555,6656,9989"
"3736,4730,4631,3220","3220,3736,4631,4730","3220,3731,4636,4730"
"3748,9026,3130,3039","3039,3130,3748,9026","3030,3139,3748,9026"
"3754,4935,4839,6867","3754,4839,4935,6867","3754,4835,4939,6867"
"3987,3688,4809,7940","3688,3987,4809,7940","3687,3988,4809,7940"
"4034,1911,1513,4542","1513,1911,4034,4542","1511,1913,4034,4542"
"4059,1014,4549,4641","1014,4059,4549,4641","1014,4059,4541,4649"
"4078,3845,3448,9513","3448,3845,4078,9513","3445,3848,4078,9513"
"4169,2649,5929,2941","2649,2941,4169,5929","2641,2929,4169,5949"
"4314,1668,4216,6537","1668,4216,4314,6537","1668,4214,4316,6537"
"4315,9710,8380,8189","4315,8189,8380,9710","4315,8180,8389,9710"
"4318,4898,4990,8590","4318,4898,4990,8590","4318,4890,4998,8590"
"4336,9330,4039,3939","3939,4039,4336,9330","3939,4036,4330,9339"
"4339,7558,5162,7359","4339,5162,7359,7558","4339,5162,7358,7559"
"4352,7359,5246,4450","4352,4450,5246,7359","4350,4452,5246,7359"
"4360,3668,9031,4264","3668,4264,4360,9031","3664,4260,4368,9031"
"4417,8489,1487,4615","1487,4417,4615,8489","1487,4415,4617,8489"
"4546,4348,3590,2543","2543,3590,4348,4546","2543,3590,4346,4548"
"4557,3600,5912,5519","3600,4557,5519,5912","3600,4519,5557,5912"
"4568,5975,4967,9974","4568,4967,5975,9974","4568,4975,5974,9974"
"4640,5630,9924,4349","4349,4640,5630,9924","4349,4630,5640,9924"
"4647,9116,6917,4845","4647,4845,6917,9116","4647,4845,6916,9117"
"4692,2603,1056,1850","1056,1850,2603,4692","1056,1850,2692,4692"
"4707,7402,4903,1498","1498,4707,4903,7402","1498,4703,4907,7402"
"4733,3535,4135,4801","3535,4135,4733,4801","3535,4133,4733,4801"
"4749,5190,5093,8633","4749,5093,5190,8633","4749,5090,5193,8633"
"4756,7659,2610,2518","2518,2610,4756,7659","2510,2618,4756,7659"
"4873,1367,1861,4261","1367,1861,4261,4873","1367,1861,4267,4873"
"4953,7241,7044,7145","4953,7044,7145,7241","4953,7044,7141,7245"
"4974,1908,4578,4948","1908,4578,4948,4974","1908,4574,4948,4978"
"4990,1791,2953,1396","1396,1791,2953,4990","1396,1791,2990,4953"
"5033,8017,8213,7256","5033,7256,8017,8213","5033,7256,8013,8217"
"5053,7675,8394,8195","5053,7675,8195,8394","5053,7675,8194,8395"
"5068,8578,9298,9595","5068,8578,9298,9595","5068,8578,9295,9598"
"5188,4128,5487,3595","3595,4128,5188,5487","3595,4128,5187,5488"
"5195,2261,2064,3551","2064,2261,3551,5195","2061,2264,3551,5195"
"5271,8887,8523,5177","5177,5271,8523,8887","5177,5277,8523,8887"
"5307,8737,5503,1039","1039,5307,5503,8737","1039,5303,5507,8737"
"5355,7801,5554,9782","5355,5554,7801,9782","5354,5555,7801,9782"
"5376,5362,7573,5278","5278,5362,5376,7573","5276,5362,5378,7573"
"5377,5278,3108,4351","3108,4351,5278,5377","3108,4351,5277,5378"
"5475,7271,7970,1852","1852,5475,7271,7970","1852,5475,7270,7971"
"5480,5384,4862,5321","4862,5321,5384,5480","4862,5321,5380,5484"
"5502,5368,5464,5289","5289,5368,5464,5502","5289,5364,5468,5502"
"5568,3750,4769,4865","3750,4769,4865,5568","3750,4769,4868,5565"
"5569,1072,6642,6841","1072,5569,6642,6841","1072,5569,6641,6842"
"5634,6627,5536,4462","4462,5536,5634,6627","4462,5536,5627,6634"
"5653,2670,1002,2376","1002,2376,2670,5653","1002,2376,2653,5670"
"5660,5245,9205,9600","5245,5660,9205,9600","5245,5660,9200,9600"
"5667,8403,5426,5027","5027,5426,5667,8403","5027,5403,5667,8403"
"5683,9378,5085,6640","5085,5683,6640,9378","5085,5640,6683,9378"
"5809,5908,4940,8773","4940,5809,5908,8773","4940,5808,5909,8773"
"5875,4378,5478,2306","2306,4378,5478,5875","2306,4378,5475,5878"
"5897,4792,7247,7443","4792,5897,7247,7443","4792,5897,7243,7447"
"5952,5759,7571,4535","4535,5759,5952,7571","4535,5752,5959,7571"
"6032,2791,4331,2890","2791,2890,4331,6032","2790,2891,4332,6032"
"6038,6431,1770,1138","1138,1770,6038,6431","1138,1770,6031,6438"
"6058,6351,7382,7773","6058,6351,7382,7773","6058,6382,7351,7773"
"6086,6694,4033,4132","4033,4132,6086,6694","4032,4133,6086,6694"
"6107,6008,1513,2231","1513,2231,6008,6107","1513,2231,6007,6108"
"6166,8161,9713,9615","6166,8161,9615,9713","6166,8161,9613,9715"
"6169,6364,7595,3168","3168,6169,6364,7595","3168,6164,6369,7595"
"6227,6029,9446,3654","3654,6029,6227,9446","3654,6027,6229,9446"
"6241,3541,6269,6962","3541,6241,6269,6962","3541,6269,6262,6962"
"6299,9987,7332,9589","6299,7332,9589,9987","6299,7332,9587,9989"
"6339,2818,1246,6432","1246,2818,6339,6432","1246,2818,6332,6439"
"6368,7582,3740,3647","3647,3740,6368,7582","3640,3747,6368,7582"
"6411,2127,3813,2923","2127,2923,3813,6411","2127,2923,3811,6411"
"6458,5759,2801,5852","2801,5759,5852,6458","2801,5752,5858,6459"
"6519,9214,9313,5599","5599,6519,9214,9313","5599,6519,9213,9314"
"6567,8381,8283,2284","2284,6567,8283,8381","2284,6567,8281,8383"
"6595,2894,2698,6682","2698,2894,6595,6682","2694,2898,6595,6682"
"6672,2140,2044,1543","1543,2044,2140,6672","1540,2044,2143,6672"
"6712,5597,3565,3368","3368,3565,5597,6712","3365,3568,5597,6712"
"6720,5494,6521,8604","5494,6521,6720,8604","5494,6520,6721,8604"
"6781,1579,6587,7186","1579,6587,6781,7186","1579,6587,6786,7181"
"6802,3562,3660,9122","3562,3660,6802,9122","3560,3662,6802,9122"
"6834,1890,2829,1591","1591,1890,2829,6834","1591,1829,2834,6834"
"6863,1211,7898,6769","1211,6769,6863,7898","1211,6769,6898,7863"
"6928,4854,4689,4981","4689,4854,4981,6928","4689,4854,4928,6981"
"6956,8045,6859,3123","3123,6859,6956,8045","3123,6856,6959,8045"
"6991,7652,7928,6796","6796,6991,7652,7928","6791,6996,7652,7928"
"7008,7103,5614,6491","5614,6491,7008,7103","5614,6491,7003,7108"
"7099,2384,7191,2923","2384,2923,7099,7191","2384,2923,7091,7199"
"7118,1248,7116,7414","1248,7116,7118,7414","1248,7114,7116,7418"
"7146,6480,4044,6389","4044,6389,6480,7146","4044,6380,6489,7146"
"7157,7653,7357,4547","4547,7157,7357,7653","4547,7157,7353,7657"
"7189,5328,7487,4899","4899,5328,7189,7487","4899,5328,7187,7489"
"7212,1174,6834,1270","1174,1270,6834,7212","1170,1274,6834,7212"
"7263,4717,4618,6965","4618,4717,6965,7263","4617,4718,6963,7265"
"7317,7018,4132,5538","4132,5538,7018,7317","4132,5538,7017,7318"
"7355,7258,6762,2358","2358,6762,7258,7355","2358,6762,7255,7358"
"7397,8188,4694,7491","4694,7397,7491,8188","4694,7391,7497,8188"
"7436,1953,6980,1658","1658,1953,6980,7436","1658,1980,6953,7436"
"7437,8665,5867,5569","5569,5867,7437,8665","5567,5869,7437,8665"
"7438,7039,1960,2579","1960,2579,7039,7438","1960,2579,7038,7439"
"7443,2801,2896,7245","2801,2896,7245,7443","2801,2896,7243,7445"
"7469,8165,8034,8068","7469,8034,8068,8165","7468,8034,8069,8165"
"7474,6711,4443,6613","4443,6613,6711,7474","4443,6611,6713,7474"
"7566,1806,5759,5958","1806,5759,5958,7566","1806,5758,5959,7566"
"7635,2739,7139,4621","2739,4621,7139,7635","2739,4621,7135,7639"
"7660,7162,3646,3935","3646,3935,7162,7660","3646,3935,7160,7662"
"7721,9241,3089,9146","3089,7721,9146,9241","3089,7721,9141,9246"
"7758,9426,1985,9127","1985,7758,9127,9426","1985,7758,9126,9427"
"7847,5740,5242,1512","1512,5242,5740,7847","1512,5240,5747,7847"
"7943,1771,4334,1473","1473,1771,4334,7943","1471,1773,4334,7943"
"7974,8457,3205,3303","3205,3303,7974,8457","3203,3305,7974,8457"
"7997,1714,6425,1517","1517,1714,6425,7997","1514,1717,6425,7997"
"8035,7005,8578,8670","7005,8035,8578,8670","7005,8035,8570,8678"
"8163,4161,8461,9141","4161,8163,8461,9141","4161,8141,8463,9161"
"8168,9904,1027,9808","1027,8168,9808,9904","1027,8168,9804,9908"
"8174,8270,3601,8345","3601,8174,8270,8345","3601,8170,8274,8345"
"8295,8592,8690,7354","7354,8295,8592,8690","7354,8295,8590,8692"
"8416,1488,9510,9015","1488,8416,9015,9510","1488,8416,9010,9510"
"8424,8143,8045,3108","3108,8045,8143,8424","3108,8043,8145,8424"
"8479,8577,6158,2875","2875,6158,8479,8577","2875,6158,8477,8579"
"8499,2635,7299,7494","2635,7299,7494,8499","2635,7294,7499,8499"
"8519,7117,1813,7216","1813,7117,7216,8519","1813,7116,7217,8519"
"8574,8478,7649,1918","1918,7649,8478,8574","1918,7649,8474,8578"
"8588,8404,9601,9004","8404,8588,9004,9601","8404,8588,9001,9604"
"8674,3603,7274,8970","3603,7274,8674,8970","3603,7274,8670,8974"
"8718,3764,8813,6545","3764,6545,8718,8813","3764,6545,8713,8818"
"8738,7075,9136,8832","7075,8738,8832,9136","7075,8738,8832,9138"
"8744,4941,8942,5149","4941,5149,8744,8942","4941,5149,8742,8944"
"8755,5994,2356,2454","2356,2454,5994,8755","2354,2456,5994,8755"
"8774,1811,1519,8799","1519,1811,8774,8799","1511,1819,8774,8799"
"8830,3139,8731,8812","3139,8731,8812,8830","3139,8730,8812,8831"
"8903,6740,5581,6644","5581,6644,6740,8903","5581,6640,6744,8903"
"8915,8418,5993,7947","5993,7947,8418,8915","5993,7918,8415,8947"
"8975,5965,9455,9553","5965,8975,9455,9553","5965,8975,9453,9555"
"9087,8892,7282,7089","7089,7282,8892,9087","7087,7289,8892,9082"
"9089,1635,1831,7198","1635,1831,7198,9089","1631,1835,7198,9089"
"9107,9008,2308,4486","2308,4486,9008,9107","2308,4486,9007,9108"
"9198,9597,4020,1820","1820,4020,9198,9597","1820,4020,9197,9598"
"9214,9713,7713,9184","7713,9184,9214,9713","7714,9184,9213,9713"
"9262,5555,5636,5457","5457,5555,5636,9262","5455,5557,5636,9262"
"9381,3582,9289,5569","3582,5569,9289,9381","3582,5569,9281,9389"
"9407,3609,9123,9221","3609,9123,9221,9407","3609,9121,9223,9407"
"9412,7154,7853,1754","1754,7154,7853,9412","1754,7153,7854,9412"
"9496,9895,2441,1496","1496,2441,9496,9895","1496,2441,9495,9896"
"9502,5925,9600,2161","2161,5925,9502,9600","2161,5925,9500,9602"
"9554,7598,7993,9521","7598,7993,9521,9554","7521,7993,9554,9598"
"9619,3040,9710,2649","2649,3040,9619,9710","2640,3049,9619,9710"
"9640,8756,8785,9243","8756,8785,9243,9640","8756,8785,9240,9643"
"9694,4859,1697,9495","1697,4859,9495,9694","1697,4859,9494,9695"
"9716,8436,5625,8533","5625,8436,8533,9716","5625,8433,8536,9716"
"9731,5545,6544,9533","5545,6544,9533,9731","5545,6533,9544,9731"
"9813,8706,3255,9217","3255,8706,9217,9813","3255,8706,9213,9813"
"9857,9954,3097,5597","3097,5597,9857,9954","3097,5597,9854,9957"
"9886,4866,9984,4320","4320,4866,9886,9984","4320,4866,9884,9986"
"9941,6224,4501,4404","4404,4501,6224,9941","4401,4504,6224,9941"
